Frequency [Hz],A2,AY1,AY2,AY3,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
1.25,1.2301392200327532,0.9915333665868294,0.9741252285398733,0.9629312084614045,0.9055236306427523,0.8814239557256766,1.2292680955053492,1.2270996041294768,1.2343631087376619,1.234091601857686,1.2240980764743237,1.227905885022898,1.224283932292621,1.2228940302335387,1.2165979653222108,1.1415107643574223,1.020447574369144,1.2053169040565024,1.1887775797088338,1.1379746742421586,1.0976531165173848,1.0458864386552478,1.0142748044856573,0.988967073834647
1.375,1.4777636535718628,1.4887783426847825,1.3851171928852435,1.2570155692191005,0.8716033861524111,0.7720833187530731,1.2740065473795457,1.2623868946643046,1.2310980702860297,1.250377417584459,1.2666004235125343,1.2702383250359242,1.24180047352676,1.2435695941848168,1.4390275917377036,1.1907611489134275,1.0072922855164195,1.3814782177202352,1.3241647079813261,1.1952146223578635,1.1214519881527127,1.0632130951389855,1.019323662687617,1.5402585939577804
1.5,1.3659727165817546,1.1705988907193745,1.1314835327893173,1.092578194602953,0.9573413207507251,0.9127013754381961,1.2455818266113576,1.2429410977360946,1.2502696794691612,1.2483096503069238,1.240357668955336,1.2423845661043968,1.2396131347974313,1.231702231054181,1.347539615667128,1.2310244803580495,1.0235143497003432,1.3255741690225584,1.2981449599864125,1.2301046097958257,1.160395276096084,1.0747585063576879,1.0198116141845663,1.1782846441680035
1.625,1.5489466505955496,1.538180387900977,1.4177486501143177,1.248578759048819,0.7914600405482799,0.6835568444503412,1.1910200727515323,1.1940005153639386,1.1743932915351378,1.1871008608326925,1.1908877073951123,1.2111924776050338,1.1845690905766773,1.181973892426177,1.526363599293693,1.2379863817292434,1.0051784746555736,1.4640867594060076,1.374898527464972,1.233790537733082,1.1425294000029258,1.0545328751344107,0.9951026637672805,1.5735739717110144
1.75,1.3312609813671161,1.1092880594208816,1.0822359779650665,1.0549700803219677,0.9493835934170778,0.9120332583408178,1.2429321516889487,1.2450682016621597,1.2464488996245837,1.2434273888518288,1.243877129330669,1.2385527628916086,1.2389593481558074,1.225978130823804,1.3022435567060493,1.214688012028989,1.019509609807685,1.302862896361545,1.2864575232507707,1.2179554413402967,1.1435772596470917,1.0613323142316793,1.0142229081038232,1.1132942295817534
1.875,1.734280049919783,1.667018330248214,1.5243904813744493,1.3336007673854795,0.8330537871691776,0.7082463921934203,1.1846549247372427,1.1744639748867498,1.1717934582363025,1.203508894804237,1.205499943949593,1.206242181140027,1.1898489551813063,1.2097987365615048,1.706201981030425,1.3569346873388621,1.0149360861250292,1.6368024740249734,1.525002518948259,1.3344470327407942,1.1996480268883192,1.0601787125128606,1.0059702712262173,1.7261347387396455
2.0,1.5052472724106882,1.3943327435733373,1.3381767749225435,1.2574115378100674,0.9855064578279148,0.9115158949194035,1.2345667342996336,1.2405935122285385,1.2416913568241246,1.2415542034411127,1.2408711600548676,1.2408688040836338,1.236006317678676,1.2254989799897436,1.488285478914678,1.338474964272119,1.0179769107953416,1.4681104931103681,1.4273692585270534,1.3374326408410964,1.2243522389614507,1.0866062971325308,1.0147745462868507,1.4051791077203781
2.125,1.892418590554992,1.8151399851398975,1.6391227467770668,1.4199344705741797,0.8756083927178732,0.7479163828966396,1.1822876620550804,1.1840969811502378,1.154292434487674,1.1997703943702136,1.1868326301211085,1.1895178074439987,1.2289709277648209,1.2033893176305945,1.8946311232004664,1.4792637302129057,1.0092839599756516,1.7885107209896656,1.6658070405715926,1.4495045763690886,1.2672356663818867,1.078232235262956,1.0112319007895871,1.86112261095629
2.25,1.6253119651067265,1.5404626303892437,1.4641208393207177,1.3642791930957414,1.0079218163973027,0.9114829835598709,1.2363070313382982,1.2464164450972328,1.2478685516668762,1.246027784844232,1.2493710700628278,1.2506114810866167,1.2471593717623357,1.2279212286480983,1.5894212656418596,1.3962827056580935,1.016516324252351,1.5742963084471784,1.5262652153667502,1.4057801338466023,1.26018186570392,1.1006272665397883,1.0101782793889256,1.567527802211403
2.375,2.3097258749879974,1.7614051087941556,1.6051203788300987,1.3846554476251764,0.8668890908549933,0.7657464674882336,1.156641870345863,1.1963134752727036,1.1904181455230818,1.2055053363144603,1.2059844085829705,1.2247972720004738,1.2306298870529178,1.2051266334200725,2.313347008072575,1.7649637009316625,1.0322112302274895,2.1935515129537406,2.0292613287820447,1.7415319310343829,1.4492111717979352,1.1617594961668893,1.0200158472667882,1.8304510561108438
